,Category,Message
2387,ham,message responce happend
977,ham,ok shall talk
2995,ham,idea guess work hour supposed leave since usual nobody interest figuring shit last second
749,ham,reason spoken year anyways great week best exam
3864,spam,oh god found number glad text back xafter msgs cst std ntwk chg
1941,ham,dude avatar imp one point thought actually flies room almost tried hittng one reflex
1036,ham,hello baby get back mom setting computer filling belly goes loverboy miss already sighs
684,spam,hi sue years old work lapdancer love sex text live bedroom text sue textoperator g da ppmsg
631,ham,please dont say like hi hi hi
5443,spam,guaranteed award maybe even cash claim ur award call free legitimat efreefone number wat u think
4372,ham,purity friendship two smiling reading forwarded message smiling seeing name gud evng
3360,spam,sorry missed call let talk time
2263,ham,take lt gt min
964,ham,yo chad gymnastics class wanna take site says christians class full
1573,spam,ur cash balance currently pounds maximize ur cash send go p msg cc hg suite lands row w j hl
2125,ham,beautiful truth gravity read carefully heart feels light someone feels heavy someone leaves good night
707,ham,wanna gym harri
471,spam,okmail dear dave final notice collect tenerife holiday cash award call landline tcs sae box cw wx ppm
3411,ham,joy father john john joy father u ans ths hav lt gt iq tis ias question try answer
2260,ham,ill call evening ill ideas
3792,spam,twinks bears scallies skins jocks calling miss weekend fun call p min stop texts call nat rate
381,ham,guess worried must know way body repairs quite sure worry take slow first tests guide ovulation relax nothing said reason worry keep followin
3062,ham,u talking bout early morning almost noon
1187,ham,goodmorning today late lt gt min
4419,ham,get free call
2937,ham,stop wondering wow ever going stop tm ing tm whenever want mine laughs
1653,spam,ur chance win cash every wk txt action c www movietrivia tv custcare x p wk
2795,ham,affidavit says lt gt e twiggs st division g courtroom lt gt lt time gt double check text tomorrow
849,ham,yeah barely enough room two us x many fucking shoes sorry man see later
2345,ham,okie
4570,ham,time come tomorrow
1929,spam,call tells u call claim prize u enter ur mobile personal details prompts careful
227,spam,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries
1709,ham,loverboy keeps coming queen hmmm ache speak miss desparately
2076,ham,must come later normally bathe da afternoon mah
4284,ham,science tells chocolate melt sunlight please walk sunlight bcoz want loss sweet friend
1166,ham,haha yeah see sec
2149,ham,get home
817,ham,lots used ones babe model help youi bring match
1367,ham,bbq sat mine ish ur welcome come
306,ham,yup remb think book
1937,ham,planning usually stops find hella weed smoke hella weed
564,spam,gent trying contact last weekends draw shows prize guaranteed call claim code k valid hrs ppm
3227,ham,rose red red blood blood heart heart u u send tis ur friends including u like u get back u r poor relation u need support u r frnd many luvs u praying god marry u try
395,ham,pick bout ish time going
2643,ham,try get lost fact tee hee
2364,spam,fantasy football back tv go sky gamestar sky active play k dream team scoring starts saturday register sky opt
2324,ham,sorry dude dont know forgot even dan reminded sorry hope guys fun
4462,ham,thanks reply today ur visa coming r u still buying gucci bags sister things easy uncle john also bills really need think make money later sha
3044,ham,bill thats bad
604,ham,happy come noon
3192,spam,ur awarded city break could win summer shopping spree every wk txt store skilgme tscs winawk age perwksub
5215,ham,keep ten rs shelf buy two egg
1286,ham,wondering others took
740,ham,haha mayb u rite u know well da feeling liked someone gd lor u faster go find one gals group attached liao
5354,ham,aiyo cos sms neva reply wait reply lar tot havent finish ur lab wat
2447,ham,sorry call later
5437,ham,slow using biola fne
1635,spam,eerie nokia tones u rply tone title eg tone dracula titles ghost addamsfa munsters exorcist twilight www getzed co uk pobox w wq p
408,ham,hello good week fancy drink something later
2114,ham,yeah go bed back midnight
4505,ham,told hr want posting chennai working
3529,spam,winner guaranteed caller prize final attempt contact claim call ppmpobox bhamb xe
2899,ham,r home come within min
3391,spam,please call immediately urgent message waiting
1379,ham,ya tel wats ur problem
2101,ham,oh howda gud gud mathe en samachara chikku
3959,ham,could kiss feel next
4566,ham,honeybee said sweetest world god laughed amp said wait u havnt met person reading msg moral even god crack jokes gm gn ge gn
289,ham,life means lot love life love people life world calls friends call world ge
4214,ham,attended nothing
2232,ham,k wen ur free come home also tel vikky hav sent mail also better come evening il free today aftr pm
3399,ham,simple arithmetic percentages
1010,ham,dear hero leaving qatar tonite apt opportunity pls keep touch lt email gt kerala
3838,ham,early bird purchases yet
3515,ham,always chat fact need money raise
111,ham,plural noun research
4766,ham,text way cup stop work bus
4815,ham,ummmmmaah many many happy returns day dear sweet heart happy birthday dear
1725,ham,bold lt gt
2281,ham,r comin back dinner
627,ham,many licks take get center tootsie pop
4152,ham,comin fetch us oredi
4337,ham,fyi taking quick shower epsilon like lt gt min
4287,ham,congrats great wanted tell tell score cos might make relax motivating thanks sharing
3353,ham,call say coming today ok tell fool like ok
2562,ham,maybe pressies
4120,ham,hiya u like hlday pics looked horrible took mo hows camp amrca thing speak soon serena
1981,ham,sorry call later
5282,ham,gone get info bt dont know
2461,ham,cant talk call dont keep calling
4645,ham,u got persons story
1631,ham,going film day da pm sorry da
4514,spam,money wining number wot next
1885,ham,love ass enjoy doggy style
466,ham,great princess love giving receiving oral doggy style fave position enjoy making love lt gt times per night
5084,ham,hey happy birthday
3502,ham,says lt gt year old man money last lt gt still waiting check
3625,ham,message responce happend
1830,spam,hottest pics straight phone see getting wet wanting xx text pics txt costs p textoperator g ga xxx
4500,spam,sms services inclusive text credits pls goto www comuk net login qxj unsubscribe stop extra charge help comuk cm ae
4314,ham,well babe swollen glands throat end
276,ham,thanx
1159,ham,hey veggie pizza
1403,ham,registered sinco payee log icicibank com enter urn lt gt confirm beware frauds share disclose urn anyone
4274,ham,kind missed train cos asthma attack nxt one half hr driving sure park
5197,ham,like cheap happy splash wine makes feel better
1828,ham,hey gorgeous man work mobile number good one babe squishy mwahs
1918,ham,leaving yet ok lor go elsewhere n eat u thk
102,ham,still looking car buy gone driving test yet
2747,ham,k da many page want
574,ham,waiting call
3734,ham,old orchard near univ
2553,ham,oh fine tonight
1283,ham,ever green quote ever told jerry cartoon person irritates u always one loves u vry much fails express gud nyt
5002,ham,nope since ayo travelled forgotten guy
4633,ham,meeting call later
2637,ham,thank god bed
317,ham,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
1967,ham,feathery bowa something guys know
3790,ham,sure mean get made hold weed
2418,ham,oh lk tt den take e one tt ends cine lor dun wan yogasana oso
1393,ham,thk shld b ya wana go lessons haha go one whole stretch
3829,ham,yuou working getting pc mom find spot would work need
4579,spam,urgent call landline complimentary ibiza holiday cash await collection sae cs po box sk wp ppm
2660,ham,ok
4202,ham,wylie update weed dealer carlos went freedom class lunsford
3552,ham,love
4277,ham,please send aunty number
479,ham,k pick another th done
488,ham,dear reached railway happen
826,ham,hmm bits pieces lol sighs
3083,ham,importantly discuss u
3916,ham,ard lor ok message lor
565,ham,fuck babe miss already know let send money towards net need want crave
593,spam,private account statement shows un redeemed points call identifier code expires
4332,ham,nope come online
2894,ham,k sure get noon see
3710,ham,ok ok ok whats ur todays plan
4858,ham,thanks bomb date phone wanted say
648,spam,private account statement shows un redeemed points call identifier code expires
669,ham,good evening ttyl
2767,spam,married local women looking discreet action real matches instantly phone text match msg cost p stop txt stop bcmsfwc n xx
2110,ham,lara said loan lt gt
4408,ham,awesome plan get time like lt gt text details wee bit
2224,spam,thanks ringtone order ref number k mobile charged tone arrive please call customer services
783,ham,beerage
4731,ham,dont know ask brother nothing problem thing told
550,ham,ok give minutes think see btw alibi cutting hair whole time
1788,ham,yes sura sun tv lol
2807,ham,
1109,ham,get headache trying figure u trust math promise
4345,ham,hi asked waheeda fathima leave
506,ham,waiting e car dat bored wat cos wait outside got nothing home stuff watch tv wat
4283,ham,u call
2870,ham,house maid murderer coz man murdered lt gt th january public holiday govt instituitions closed including post office understand
4035,ham,wot u thout u gonna call txt bak luv k
3756,ham,im gloucesterroad uup later
3621,ham,meant apology texting get drugs lt gt night
3334,spam,contacted dating service someone know find call land line pobox w tg p
3605,ham,hey morning come ask pa
4907,ham,come online today night
5536,ham,aiyah ok wat long got improve already wat
2234,ham,good morning plz call sir
776,ham,thanks picking trash
4014,ham,ok
694,ham,purchase stuff today mail po box number
250,spam,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age
699,ham,mum ask buy food home
5224,ham,oh fuck juswoke bed boatin docks slept wid year old spinout giv u da gossip l r xxx
4620,ham,sorry call later meeting
4458,ham,aight plan come later tonight
4659,ham,message great doctor india drink appy fizz contains cancer causing age
198,ham,hamster dead hey tmr meet pm orchard mrt
4246,ham,toshiba portege gd
5258,ham,cbe chennai
2429,ham,find sent offline message know anjola
482,ham,yo carlos friends already asking working weekend
3805,ham,dude fake frnds got money thts reffering u u member wit mail link u vl credited lt gt rs il getiing lt gt rs draw acc wen lt gt rs
2332,ham,home way
58,ham,tell reached
2395,ham,run away frm u walk slowly amp kills u care enough stop
1832,ham,hello thanx taking call got job starts monday
2996,ham,mm entirely sure understood text hey ho weekend
1904,spam,free entry weekly comp chance win ipod txt pod get entry std txt rate c apply details
5101,ham,nope thats fine might nap tho
876,spam,shop till u drop either k k cash travel voucher call ntt po box cr bt fixedline cost ppm mobile vary
2565,ham,sea lays rock rock envelope envelope paper paper words
2061,ham,one slice one breadstick lol
674,ham,ditto worry saying anything anymore like said last night whatever want peace
5275,ham,oh yeah clearly fault
895,ham,g class early tomorrow thus trying smoke lt gt
4396,ham,got message ignoring yes shopping
4969,ham,future planned tomorrow result today best present enjoy future
4637,ham,k k pa lunch aha
3932,ham,nooooooo gonna bored death day cable internet outage
3721,ham,yeah gang ready
2223,ham,great getting worried know wonderful caring person like best life know u r wonderful god love
4085,ham,quite ok bit ex u better go eat smth else feel guilty
349,spam,fancy shag interested sextextuk com txt xxuk suzy txts cost per msg tncs website x
1343,ham,yeah try scrounge something
3218,ham,come mahal bus stop lt decimal gt
3896,ham,yes last practice
1697,ham,sorry man stash ran dry last night pick sunday
4675,ham,leaving house
4115,ham,stand away heart ache without wonder crave
4736,ham,oh k placement ah
4947,ham,already back home probably
178,ham,turns friends staying whole show back til lt gt feel free go ahead smoke lt gt worth
3759,ham,lol ouch wish stayed bit longer
3503,ham,come ur home
1259,ham,honey boo missing u
2356,ham,hello love went day alright think sweet send jolt heart remind love hear screamed across sea world hear ahmad al hallaq loved owned possessive passionate kiss
1620,ham,friends u stay fb chat
5304,ham,pls ask macho much budget bb bold cos saw new one lt gt dollars
4228,ham,buy one egg da please
4192,ham,moment day value morning brings hope afternoon brings faith evening brings luv night brings rest wish u find today good morning
4031,ham,cool text
3601,ham,know mood today
1670,ham,hurting n meaningful lines ever compromised everything love end love compromised everything gud mornin
846,ham,meanwhile shit suite xavier decided give us lt gt seconds warning samantha coming playing jay guitar impress shit also think doug realizes live anymore
343,ham,u hiding stranger
4715,ham,oops thk dun haf enuff go check tell
758,ham,faith makes things possible hope makes things work love makes things beautiful may three christmas merry christmas
3800,ham,actually nvm got hella cash still lt gt ish
1706,ham,yun ah wkg btw go nus sc wana specialise wad
3652,ham,want send virtual hug need one
2760,ham,meh thgt clash really ah dun mind dun seen lost weight gee
4521,ham,think one saying clearly ok leave need ask go come
2458,ham,k k sister kids
4717,ham,hey happened u switch ur cell whole day isnt good u care give call tomorrow
3586,ham,heart empty without love mind empty without wisdom eyes r empty without dreams amp life empty without frnds alwys touch good night amp sweet dreams
3364,ham,free
1887,spam,dear xxxxxxx u invited xchat final attempt contact u txt chat p msgrcvdhg suite lands row w j hl ldn yrs
4097,ham,hey rite u put evey mnth
3148,ham,oh thats late well good night give u call tomorrow iam going go sleep night night
1002,spam,please call customer service representative freephone pm guaranteed cash prize
2900,ham,aight latest probably closer jay tyler two trips
941,ham,sell tons coins sell coins someone thru paypal voila money back life pockets
5471,ham,yup
2175,ham,see thought
701,ham,much r willing pay
427,ham,aathi dear
2107,ham,thank like well
370,ham,cool text ready
339,ham,sorry call later
1387,ham,e best ur exam later
3124,ham,telling tell one treat hi hi hi
11,spam,six chances win cash pounds txt csh send cost p day days tsandcs apply reply hl info
4639,ham,captain vijaykanth comedy captain tv drunken
363,ham,check audrey status right
2155,ham,oh god happy see message days
4511,ham,weekend fine excuse much decorating
3641,ham,really skateboarding despite fact gets thrown winds bandages shit arms every five minutes
1726,ham,know shall speak lt gt minutes
366,ham,well know z take care worries
5160,ham,ok r meeting later
4926,ham,ok let u noe leave house
4688,ham,eatin lunch
608,ham,meant say cant wait see u getting bored bridgwater banter
4915,ham,already got flaky parent snot supposed child job support parent ride age anyway supposed support hurt unintentional hurt nonetheless
2295,spam,new message please call
4092,ham,hey doc pls want get nice shirt hubby nice fiting ones budget lt gt k help pls load card abi hw keep posted luv mj
1304,ham,cant pick phone right pls send message
2912,ham,sorry meeting call later
4502,ham,wat da decision
5313,ham,sister going earn da
5060,spam,free video camera phones half price line rental mths cross ntwk mins txts call mobileupd call optout
5290,ham,dear call
4901,spam,ou guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd
1351,ham,bugis oso near wat
2513,ham,hiya u paying money account thanks got pleasant surprise checked balance u c get statements acc
273,spam,hmv bonus special pounds genuine hmv vouchers answer easy questions play send hmv info www percent real com
5033,ham,ok vl u know got adsense approved
1546,ham,good afternoon love job prospects missing lazy bleak hmmm happy filled love
1432,ham,painful personal thought always try keep everybody happy time nobody recognises alone
21,ham,going try months ha ha joking
1748,ham,think u wrong number
5534,ham,ok another number
2104,ham,site simulate test gives tough questions test readiness
1661,ham,send bec temple na
4426,ham,saw message k da
3487,ham,yeah probably earlier
1186,ham,annoying
680,ham,missed call cause yelling scrappy miss u wait u come home lonely today
2622,ham,lol nah bad thanks good b home quite reality check hows ur day u anything website
1567,ham,late
992,ham,hi im relaxing time ever get every day party good night get home tomorrow ish
1741,spam,ur going bahamas callfreefone speak live operator claim either bahamas cruise cash opt txt x
71,ham,finished class
2470,ham,way
382,ham,yeah sure give couple minutes track wallet
3068,ham,ok april cant wait
4794,ham,u ask next sat make ok lor
1526,ham,pls pls find aunt nike
1965,ham,honeybee said sweetest world god laughed amp said wait u havnt met person reading msg moral even god crack jokes gm gn ge gn
196,ham,gud mrng dear hav nice day
3467,ham,actually fuck whatever find excuse tampa point january though
4530,ham,hiya probably coming home weekend next
2632,spam,urgent mobile xxx bonus caller prize nd attempt reach call asap box n qp ppm
987,ham,office call lt gt min
3855,ham,oh ya got hip hop open haha thinking go jazz zoom cine actually tonight free leh kb lesson tonight
4802,ham,guy car shop flirting got phone number paperwork called texted nervous course may address call boss tell knowing may get fired
374,ham,cant keep talking people sure pay agree price pls tell want really buy much willing pay
5209,ham,know thinkin malaria relax children cant handle malaria would worse gastroenteritis takes enough replace loss temp reduce give malaria meds vomit self limiting illness means days completely stop
4949,spam,hi amy sending free phone number couple days give access adult parties
1889,ham,way home long dry spell season would
960,ham,
2620,spam,forwarded hi mailbox messaging sms alert matches please call back retrieve messages matches cc p min
5021,ham,cool last little getting time soon
2497,ham,hcl chennai requires freshers voice process excellent english needed salary upto lt gt call ms suman lt gt telephonic interview via indyarocks com
747,ham,promise take good care princess run please send pics get chance ttyl
4777,ham,quite lor dun tell wait get complacent
2917,ham,time tell friend around
3768,ham,sir goodmorning free call
4708,ham,wif family booking tour package
4614,ham,much got cleaning
2255,ham,ok watching tv
796,ham,really getting hanging around
2055,ham,late need go n get da laptop
696,ham,good good job like entrepreneurs
5438,ham,youdoing later sar xxx
1496,ham,hey gals anyone u going e driving centre tmr
1224,ham,rofl betta invest anti aging products
1993,spam,free tones hope enjoyed new content text stop unsubscribe help p provided tones co uk
3291,ham,tuition hm go one mind
5075,ham,want sent lt gt mesages today thats sorry hurts
2427,spam,valentines day special win quiz take partner trip lifetime send go p msg rcvd custcare
4996,ham,looked addie goes back monday sucks
4270,ham,beauty sleep help ur pimples
871,ham,well officially philosophical hole u wanna call home ready saved
3279,ham,happened interview
586,ham,tell u headache want use hour sick time
1604,ham,heard job going wildlife talk tonight u want come worzels wizzle whatever
4585,ham,noooooooo please last thing need stress life fair
2218,ham,two cartons u pleased shelves
3064,spam,hi babe jordan r u im home abroad lonely text back u wanna chat xxsp visionsms com text stop stopcost p
2777,ham,send id password
5004,spam,cds u congratulations ur awarded cd gift vouchers gift guaranteed freeentry wkly draw xt music tncs www ldew com win ppmx age
3685,ham,dad says hurry hell
4618,ham,good think could send pix would love see top bottom
455,spam,loan purpose homeowners tenants welcome previously refused still help call free text back help
1457,ham,u sleeping going take haha got spys wat online checking n replying mails lor
599,ham,exhausted train morning much wine pie sleep well
3520,ham,hanging brother family
3248,ham,gonna ring weekend wot
3296,ham,dunno lei decide lor abt leona oops tot ben going n msg
4244,ham,okie
3418,ham,haf enuff space got like mb
1662,ham,coming home class right need work shower
3427,ham,sure since parents working tuesday really need cover story
2307,ham,aight work thanks
940,ham,better made friday stuffed like pig yesterday feel bleh least writhing pain kind bleh
162,ham,new car house parents new job hand
4774,ham,ok u tell wat time u coming later lor
5272,ham,hello u u u b moving flat cos need arrange pick lamp etc take care hello caroline
3642,spam,stop club tones replying stop mix see tone com enjoy html terms club tones cost gbp week mfl po box mk wt
4465,ham,ranjith cal drpd deeraj deepak min hold
4456,ham,storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moral one get name person bt girlfrnd g n g h
1103,ham,black shirt n blue jeans thk c
2909,ham,must sit around wait summer days celebrate magical sight worlds dressed white oooooh let snow
4129,ham,dont thnk wrong calling us
4967,spam,urgent trying contact u todays draw shows prize guaranteed call land line claim valid hrs
2667,ham,nice day impressively sensible went home early feel fine boring remember
2948,ham,leave u always ignorant
107,ham,aight hit get cash
3823,ham,normal
3869,ham,know people still town
1711,ham,promises though even gotten dinner yet
4406,ham,dun need use dial juz open da browser n surf
821,ham,good afternoon starshine boytoy crave yet ache fuck sips cappuccino miss babe teasing kiss
5518,ham,way put skip right outside front house see house pull
1676,ham,painful words thought happy toughest thing earth toughest acting happy unspoken pain inside
1070,ham,jus finish bathing
3680,ham,stupid possible
4900,ham,haha first person gonna ask
3850,ham,u town alone
2391,ham,first gained lt gt kg since took second done blood sugar tests ok blood pressure within normal limits worries
4009,ham,forgot working today wanna chat things ok drop text free bored etc ring hope well nose essay xx
4189,ham,mm umma ask vava also come tell play later together
5120,spam,private account statement
2375,ham,dunno lei neva say
513,ham,lol ok forgiven
3661,ham,reach ur home lt gt minutes
4338,ham,tuesday night r u real
838,ham,sir late paying rent past months pay lt gt charge felt would inconsiderate nag something give great cost didnt speak however recession wont able pay charge month hence askin well ahead month end please help thanks
5338,ham,wanna gym
4286,ham,pocked
5277,ham,best msg hard person u know one step foward make u fall love amp one step back ruin ur friendship good night
3890,ham,unlimited texts limited minutes
3368,ham,hey reply pa
345,ham,sister cleared two round birla soft yesterday
1510,ham,u love someone dont make love u much u love much dont want loved anyone except gud nit
4767,ham,whens radio show
4087,ham,lemme know
2734,ham,noe ben going
5504,ham,wait msg lt gt min
509,ham,significance
2080,ham,take like noon
1426,ham,mu like lt gt seconds
2239,ham,think sent text home phone cant display texts still want send number
661,ham,sea lays rock rock envelope envelope paper paper words
1237,ham,much getting
2372,ham,hmm many unfortunately pics obviously arent hot cakes kinda fun tho
2705,spam,freemsg fancy flirt reply date join uks fastest growing mobile dating service msgs rcvd p optout txt stop reply date
2518,ham,sorry call later
797,spam,orange customer may claim free camera phone upgrade loyalty call offer ends thmarch c apply opt availa
2116,ham,well available washob nobbing last night ask nickey platt instead
2180,ham,popping lt gt ibuprofens help
759,ham,u made appointment
5440,ham,thank generally date brothas
337,ham,cool come havent wined dined
1095,ham,reached home tired come tomorro
4829,ham,lol trying make day little interesting
532,ham,today sunday sunday holiday work
4073,spam,loans purpose even bad credit tenants welcome call noworriesloans com
2379,ham,hi mobile lt gt added contact list www fullonsms com great place send free sms people visit fullonsms com
2940,ham,ok happen behave like
185,ham,going nothing great bye
4168,ham,work right
3336,ham,sorry got late start way
1720,ham,u better go sleep dun disturb u liao u wake msg lor
3382,spam,complimentary star ibiza holiday cash needs urgent collection landline lose box sk wp ppm
4832,ham,po de need job aha
4239,ham,lol wtf random btw lunch break
3809,ham,mm ask come enough
3583,ham,right meanwhile project twins comin
663,ham,sorry going home first daddy come fetch later
779,ham,happy new year dear brother really miss got number decided send text wishing happiness abiola
3497,ham,happy birthday may u find ur prince charming soon n dun work hard
154,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
4255,ham,clothes jewelry trips
2530,ham,come sec somebody want see
3796,ham,also remember beads come ever
671,ham,ho ho big belly laugh see ya tomo
1599,ham,daddy take good care
3359,ham,run away frm u walk slowly amp kills u care enough stop
1196,spam,new voicemail please call
2566,ham,told dr appt next week thinks gonna die told check nothing worried listen
1035,ham,zoe hit im fucking shitin il defo try hardest cum morow luv u millions lekdog
495,ham,free call
4600,ham,laid airtel line rest
1437,ham,jus hope true missin cos really missin done anything feel guilty yet
837,spam,want anytime network mins text new video phone five pounds per week call reply delivery tomorrow
4479,ham,anything lor
2883,ham,hi harish rent transfred ur acnt
3507,ham,nite
4839,ham,boys made fun today ok problem sent one message fun
3577,ham,sign maturity start saying big things actually start understanding small things nice evening bslvyl
4429,ham,aiyar dun disturb u liao thk u lots aft ur cupboard come
836,ham,good morning dear great amp successful day
3807,spam,urgent trying contact last weekends draw shows prize guaranteed call claim code k valid hours
2318,ham,waqt se pehle naseeb se zyada kisi ko kuch nahi milta zindgi wo nahi jo hum sochte hai zindgi wo hai jo ham jeetey hai
5388,ham,much fights good nite
3988,spam,ringtone club gr new polys direct mobile every week
223,ham,sorry call later
644,ham,ya nice ready thursday
3947,ham,u doin baby girl hope u okay every time call ure phone miss u get touch
300,ham,need coffee run tomo believe time week already
1377,ham,auntie huai juan never pick phone
870,spam,u want xmas free text messages new video phone half price line rental call free find
5484,ham,picking various points going yeovil motor project hours u take home max easy
4265,ham,broke list reasons nobody town tell sarcastic faggy
2328,spam,urgent mobile number bonus caller prize nd attempt reach call asap box n qp ppm
1609,ham,freezing home yet remember kiss mom morning love think missing yet
731,spam,email alertfrom jeri stewartsize kbsubject low cost prescripiton drvgsto listen email call
1202,ham,know called
5175,ham,raji pls favour pls convey birthday wishes nimya pls today birthday
4153,ham,nannys address
4475,spam,want explicit sex secs ring costs p min
3957,ham,haha dont angry take practice real thing
3465,ham,phone
4048,spam,thanks ringtone order reference number x mobile charged tone arrive please call customer services
1151,ham,said text one time
3339,ham,k u bored come home
3845,ham,yeah thought lemme know anything goin later
2121,ham,argh g spotty anyway thing remember research province sterling problem free places looked
5479,ham,really hope work doesnt get stressful gr day
5336,ham,sounds better evening im costume im sure time finish tomorrow txt end
619,ham,come n pick come immediately aft ur lesson
1541,ham,k come nordstrom done
655,ham,u got persons story
1678,ham,lol u come ideas
600,ham,going buy mum present ar
1793,spam,win winner mr foley ipod exciting prizes soon keep eye ur mobile visit www win co uk
2947,ham,make fucks sake x
1171,ham,yeah probably swing roommate finishes girl
